DONG_CODE,SI_DO,GU,DONG,NUM_POPU,AREA
1111010100,서울특별시,종로구,청운동,2330,797032.5
1111010200,서울특별시,종로구,신교동,1393,99144
1111010300,서울특별시,종로구,궁정동,179,73042.7
1111010400,서울특별시,종로구,효자동,572,59135.9
1111010500,서울특별시,종로구,창성동,439,59706.1
1111010600,서울특별시,종로구,통의동,311,62960.3
1111010700,서울특별시,종로구,적선동,36,43131.9
1111010800,서울특별시,종로구,통인동,755,50330.9
1111010900,서울특별시,종로구,누상동,3241,261803.6
1111011000,서울특별시,종로구,누하동,828,56702.3
1111011100,서울특별시,종로구,옥인동,1956,414842.7
1111011200,서울특별시,종로구,체부동,729,45188.5
1111011300,서울특별시,종로구,필운동,1003,86207.7
1111011400,서울특별시,종로구,내자동,93,52259.8
1111011500,서울특별시,종로구,사직동,3306,284141.8
1111011600,서울특별시,종로구,도렴동,1,29147.7
1111011700,서울특별시,종로구,당주동,307,43172.3
1111011800,서울특별시,종로구,내수동,2642,70392.5
1111011900,서울특별시,종로구,세종로,0,888697.3
1111012000,서울특별시,종로구,신문로1가,86,65615.3
1111012100,서울특별시,종로구,신문로2가,612,256580.7
1111012200,서울특별시,종로구,청진동,74,61547.9
1111012300,서울특별시,종로구,서린동,1,47251.3
1111012400,서울특별시,종로구,수송동,240,98470.8
1111012500,서울특별시,종로구,중학동,4,30639.1
1111012600,서울특별시,종로구,종로1가,94,28463.2
1111012700,서울특별시,종로구,공평동,2,38723.9
1111012800,서울특별시,종로구,관훈동,111,73374
1111012900,서울특별시,종로구,견지동,228,46356.7
1111013000,서울특별시,종로구,와룡동,110,707460.7
1111013100,서울특별시,종로구,권농동,142,34394.9
1111013200,서울특별시,종로구,운니동,165,69916
1111013300,서울특별시,종로구,익선동,1060,46498.2
1111013400,서울특별시,종로구,경운동,263,57151.9
1111013500,서울특별시,종로구,관철동,234,80572.8
1111013600,서울특별시,종로구,인사동,94,69726.6
1111013700,서울특별시,종로구,낙원동,835,73125.3
1111013800,서울특별시,종로구,종로2가,74,59331
1111013900,서울특별시,종로구,팔판동,280,41466.5
1111014000,서울특별시,종로구,삼청동,1304,1186746.9
1111014100,서울특별시,종로구,안국동,253,68134.1
1111014200,서울특별시,종로구,소격동,143,61326.9
1111014300,서울특별시,종로구,화동,247,58288.9
1111014400,서울특별시,종로구,사간동,122,28910
1111014500,서울특별시,종로구,송현동,0,45484.9
1111014600,서울특별시,종로구,가회동,1056,158099.4
1111014700,서울특별시,종로구,재동,85,53276
1111014800,서울특별시,종로구,계동,1072,173819.1
1111014900,서울특별시,종로구,원서동,1748,156195.9
1111015000,서울특별시,종로구,훈정동,0,206168.9
1111015100,서울특별시,종로구,묘동,40,30711.5
1111015200,서울특별시,종로구,봉익동,58,39241.1
1111015300,서울특별시,종로구,돈의동,768,32535.8
1111015400,서울특별시,종로구,장사동,66,57515.3
1111015500,서울특별시,종로구,관수동,364,60459.6
1111015600,서울특별시,종로구,종로3가,114,44654.3
1111015700,서울특별시,종로구,인의동,1056,82690.1
1111015800,서울특별시,종로구,예지동,47,68625.7
1111015900,서울특별시,종로구,원남동,504,74095.3
1111016000,서울특별시,종로구,연지동,874,111716
1111016100,서울특별시,종로구,종로4가,26,43120.8
1111016200,서울특별시,종로구,효제동,888,100304.3
1111016300,서울특별시,종로구,종로5가,167,111536
1111016400,서울특별시,종로구,종로6가,493,151927.6
1111016500,서울특별시,종로구,이화동,1769,122431.7
1111016600,서울특별시,종로구,연건동,1657,295241.4
1111016700,서울특별시,종로구,충신동,2663,128023.3
1111016800,서울특별시,종로구,동숭동,3722,365307.9
1111016900,서울특별시,종로구,혜화동,3229,324350.3
1111017000,서울특별시,종로구,명륜1가,4282,193340.1
1111017100,서울특별시,종로구,명륜2가,3078,108495.9
