DONG,GU,DONG_CODE,SUBWAY_NUM,STARBUCKS_NUM,SAFE_DLVR_NUM,MC_NUM,KINDER_NUM,KIDS_NUM,GYM_NUM,GOLF_NUM,ACADEMY_NUM,ANIMAL_HSPT_NUM,BIKE_NUM,CAFE,CAR_SHR_NUM,CCTV_NUM,CHILD_MED_NUM,CON_NUM,DPTM_NUM
청운동,종로구,1111010100,0,0,0,0,0,0,0,0,2,1,0,8,0,0,0,1,0
신교동,종로구,1111010200,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0
궁정동,종로구,1111010300,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
효자동,종로구,1111010400,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0
창성동,종로구,1111010500,0,0,0,0,0,0,0,0,1,1,0,3,0,0,2,1,0
통인동,종로구,1111010800,0,0,0,0,0,0,0,0,5,1,0,4,0,0,0,0,0
누상동,종로구,1111010900,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
누하동,종로구,1111011000,0,0,0,0,0,0,0,0,2,1,0,8,0,0,2,0,0
옥인동,종로구,1111011100,0,0,1,0,0,0,0,0,2,1,0,5,0,0,3,0,0
세종로,종로구,1111011900,1,1,0,0,0,0,0,0,0,1,0,11,3,0,1,0,0
통의동,종로구,1111010600,0,1,0,0,0,0,1,0,1,1,0,8,0,0,0,0,0
적선동,종로구,1111010700,1,2,0,0,0,0,1,0,0,1,0,15,1,0,5,0,0
체부동,종로구,1111011200,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,2,0
필운동,종로구,1111011300,0,0,0,0,0,0,0,0,9,1,0,4,0,0,0,1,0
내자동,종로구,1111011400,0,0,0,0,0,0,2,0,5,1,0,4,0,0,5,0,0
사직동,종로구,1111011500,0,1,0,0,0,0,2,2,0,1,0,10,0,0,0,1,0
도렴동,종로구,1111011600,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,1,0
당주동,종로구,1111011700,0,1,0,0,0,0,1,0,0,1,0,14,0,0,0,0,0
